Time,Discharge-Enable Output Active,Pack Discharge Current Limit (DCL),Pack Amperage (Current),Pack Voltage
Fri Nov 6 11:30:41 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:42 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:42 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:42 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:42 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:42 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:42 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:42 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:42 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:42 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:42 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:43 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:43 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:43 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:43 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:43 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:43 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:43 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:43 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:43 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:43 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:44 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:44 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:44 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:44 GMT 2020,0.000000,248.000000,1.000000,300.500000
